MAP_ID,IN_JAN,IN_FEB,IN_MAR,IN_APR,IN_MAY,IN_JUN,IN_JUL,IN_AUG,IN_SEP,IN_OCT,IN_NOV,IN_DEC,DESC_ALERT,DESC_FIRE,DESC_OTHER,DESC_NEW,NB_UNITS,Median_NrIncidentsLastWeek,Median_NrIncidentsLastMonth,Median_NrCrimesLastWeek,Median_NrCrimesLastMonth,Median_NrIncidentsLastWeekPast,Median_NrIncidentsLastMonthPast,Median_NrCrimesLastWeekPast,Median_NrCrimesLastMonthPast,NB_PROPERTIES,FLOORS,HOUSINGS,YEAR_CONSTRUCTION,LAND_AREA,BUILDING_AREA,USAGE_LOGEMENT,CATEGORY_REGULAR,CATEGORY_CONDOMINIUM,NB_INCIDENTS
21-68,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0.4,1,0,0,0,3,0,0,0,0,0,0,0,0,229,2,2,1949,408,195,0.965,0.983,0.017,5
21-69,0.137,0.098,0.078,0.039,0.039,0.059,0.098,0.098,0.098,0.039,0.118,0.098,0.902,0.039,0.059,0,3,0,1,0,0,0,1,0,0,264,2,1,1950,431.5,142,0.989,0.848,0.152,51
21-70,0.063,0.076,0.038,0.051,0.089,0.139,0.089,0.177,0.063,0.063,0.101,0.051,0.911,0.038,0.051,0,3,0,1,0,1,0,1,0,1,385,2,1,1967,213,201,0.901,0.465,0.535,79
21-71,0.082,0.099,0.088,0.082,0.053,0.076,0.07,0.117,0.088,0.07,0.082,0.094,0.877,0.058,0.064,0,4,0,2,0,2,0,2,0,2,185,2,1,1986,34,201,0.946,0.443,0.557,171
21-72,0.139,0.028,0,0.056,0.056,0.222,0.111,0.028,0.028,0.083,0.111,0.139,0.778,0.111,0.111,0,4,0,0,0,1,0,0,0,1,93,2,1,1988,323,201,0.71,0.57,0.43,36
21-73,0.129,0.097,0.097,0.097,0.032,0.065,0.032,0.097,0.129,0.129,0.097,0,0.839,0.129,0.032,0,3,0,0,0,1,0,0,0,1,58,2,2,1964,710.5,318,0.707,1,0,31
21-74,0.079,0,0.032,0.079,0.063,0.079,0.111,0.079,0.111,0.159,0.143,0.063,0.556,0.365,0.079,0,4,0,1,0,0,0,1,0,0,3,2,1,1972,36630,201,0,1,0,63
21-75,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,2,0,0,0,0,0,0,0,0,8,2,1,1968,2471.5,201,0,1,0,2
21-76,0,0,0,0.077,0,0.077,0.077,0.231,0,0.462,0.077,0,0.615,0.077,0.308,0,3,0,0,0,0,0,0,0,0,43,2,1,1976,145,201,0.744,0.558,0.442,13
21-77,0.075,0.093,0.047,0.084,0.075,0.047,0.065,0.187,0.159,0.093,0.037,0.037,0.766,0.112,0.121,0,3,0,2,0,1,0,1,0,1,347,2,1,2009,49,201,0.885,0.213,0.787,107
21-78,0.027,0.054,0.027,0.108,0.135,0.054,0.135,0.027,0.108,0.189,0.054,0.081,0.73,0.135,0.135,0,3,0,0,0,1,0,0,0,1,262,2,1,1968,128,218.5,0.901,0.492,0.508,37
